#KEY	C23.fq	C25.fq	C28.fq	K05.fq	K23.fq	K25.fq
0610005C13Rik	57	1	6	1	7	7
0610009B22Rik	103	47	139	96	60	110
0610009E02Rik	137	141	104	75	157	128
0610009L18Rik	14	4	30	19	3	22
0610010F05Rik	232	496	389	421	68	225
0610010K14Rik	138	120	241	196	130	217
0610012G03Rik	371	291	231	434	269	300
0610030E20Rik	481	392	410	253	176	425
0610031O16Rik	2	0	0	0	2	0
0610038B21Rik	35	17	56	36	11	28
0610039H22Rik	1	2	1	3	1	0
0610039K10Rik	850	427	714	500	858	927
0610040B10Rik	5	0	2	5	10	5
0610040F04Rik	171	439	259	1100	43	217
0610040J01Rik	54	99	42	116	175	360
0610043K17Rik	5	2	2	1	3	2
1110002E22Rik	49	48	9	34	2	7
1110002J07Rik	7	2	4	2	2	15
1110002L01Rik	220	143	191	110	65	148
1110004F10Rik	523	509	590	873	201	736
1110006O24Rik	17	4	10	9	8	4
1110008P14Rik	209	288	155	245	109	224
1110015O18Rik	0	0	0	0	0	0
1110017D15Rik	1	1	1	0	2	6
1110019D14Rik	25	27	13	7	11	21
1110020A21Rik	7	5	5	1	2	0
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	2	2	0	6	0	4
1110028F18Rik	0	0	0	0	0	0
1110032A03Rik	85	39	90	87	96	87
1110032F04Rik	0	0	0	0	1	4
1110036E04Rik	0	2	0	0	0	3
1110038B12Rik	299	339	475	571	138	271
1110038F14Rik	146	168	162	184	111	208
1110046J04Rik	38	18	56	59	3	13
1110051M20Rik	789	626	595	668	323	714
1110058D11Rik	0	0	0	0	0	0
1110059E24Rik	104	83	131	114	37	111
1110059G10Rik	80	87	91	97	39	99
1110065P20Rik	168	81	159	151	278	156
1190005I06Rik	0	1	0	1	0	0
1190007I07Rik	10	35	25	41	34	44
1190028D05Rik	0	0	0	0	0	0
1300002E11Rik	67	88	35	23	75	102
1300017J02Rik	267	0	0	6	0	0
1500004A13Rik	121	173	95	158	50	114
1500009C09Rik	9	63	37	105	5	38
1500009L16Rik	6	9	5	1	8	26
1500011B03Rik	76	61	111	40	84	104
1500012K07Rik	0	0	0	0	0	1
1500015A07Rik	48	36	33	24	26	35
1500015L24Rik	0	0	1	0	0	0
1500026H17Rik	1	0	0	1	8	0
1500035N22Rik	0	0	0	0	1	0
1600002D24Rik	0	0	0	0	0	0
1600010M07Rik	4	1	4	3	4	17
1600012H06Rik	521	557	599	442	220	509
1600012P17Rik	3	0	0	0	2	0
1600014C10Rik	475	185	172	141	85	431
1600014C23Rik	0	2	2	3	0	0
1600015H23Rik	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	80	46	60	121	75	63
1600023N17Rik	4	0	2	0	2	0
1600025M17Rik	0	0	0	0	0	0
1600027J07Rik	0	0	1	0	0	0
1600029I14Rik	0	0	0	0	0	0
1600029O15Rik	0	0	4	2	0	0
1700001C19Rik	21	43	27	78	31	47
1700001D01Rik	0	4	0	1	2	0
1700001F09Rik	2	0	0	5	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	116	76	81	109	7	91
1700001G17Rik	2	2	2	3	6	6
1700001J03Rik	1	1	0	0	9	0
1700001J04Rik	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0
1700001K19Rik	16	33	15	8	16	4
1700001K23Rik	0	0	0	0	2	0
1700001L05Rik	39	73	30	38	32	35
1700001L19Rik	0	0	0	1	0	0
1700001O22Rik	2	19	9	18	9	6
1700001P01Rik	8	3	4	0	0	0
1700003C15Rik	0	0	0	0	0	0
